GameID,White,Black,Result,Date,Time,WhiteElo,BlackElo,TimeControl,Variant,Moves,,
10,galeono,Tucapel,1-0,2024.09.01,0:36:00,1560,1634,300+3,Chess960,d2d4 d7d5 b1c3 c7c6 e2e4 d5e4 e1e4 g7g6 d1e3 e8d7 c1d2 d7d4 f1a1 d4e4 c3e4 d8e6 d2c3 e6f4 d1d8,..,
11,Sapolsky,elvor1on,1-0,2024.09.01,0:36:11,1433,1432,240+0,Chess960,b2b3 e7e5 d2d4 c8b6 d4d5 b8a6 g2g3 g7g5 c1d3 c7c6 d3e5 c6d5 e5g4 a6b4 a1h8 b4c2 e1d2 d8c8 h8c3 c2b4 g4f6 e8e4 h1e4 g8g6 e4g6 a7a5 g6h7 d5d4 c3b4 a5b4 d1c1 c8c1 d2c1 b6d5 f6d5 b7b5 c1c8 f8g7 c8g8 g7h6 h7e4,..,
12,Ivo-Marinov,BBBGirl,1-0,2024.09.01,0:37:30,1663,1900,120+0,Chess960,g2g3 d8c6 h1g2 e7e5 c2c3 f7f5 d2d3 g7g6 f2f3 e8f7 d1f2 d7d5 f1d2 f8d7 c1c2 c8e8 e2e4 f5e4 d3e4 d5d4 c3d4 c6d4 c2d3 d7b6 d2b3 f7c4 d3c3 c4b3 a2b3 b8a8 c3e3 c8b8 e1c3 c7c5 b1g1 g8f8 f2d3 d4b3 a1a7 b8a7 d3c5 b3c5 e3c5 e8c6 f1a1 a7b8 c5a5 d8c8 g2h3 c6c5 a5c5 c8c5 a1a6 c5c6 a6a1 f8d8 a1c1 b6a4 h3f1 a4c3 c1c3 c6c3 b2c3 d8d1 g1f2 d1c1 c3c4 h8g7 f1e2 g7f8 h2h4 f8c5 f2g2 c1c2 g2f1 b8c7 e2d3 c2c3 f1e2 c7c6 e2d2 c5d4 f3f4 c6c5 f4f5 g6f5 e4f5 c3d3 d2d3 b7b5 c4b5 c5b5 f5f6 e5e4 d3e4 d4f6 e4f5 f6c3 g3g4 b5c6 g4g5 c6d7 h4h5 d7e7 g5g6 h7h6 f5g4 e7f8 g4f4 f8g7 f4f5 c3b2 f5e6 b2c3 e6f5 c3d2 f5e6 d2g5 e6f5 g5f6 f5e6 f6d4 e6e7 d4c3 e7e6 g7f8 e6f5 f8e8 f5e6 e8d8 g6g7 d8c8 g7g8q c8c7 g8f7 c7b6 f7d7 b6a5 d7d6,..,
13,Demoleitor64,emadov777,1-0,2024.09.01,0:37:30,1987,2045,120+0,Chess960,f2f4 f7f5 g2g3 g7g6 c1b3 c8b6 e2e4 f5e4 h1e4 c7c6 d2d4 d7d5 e4g2 f8d7 f1d2 d7f6 g1f2 h8g7 d1e1 g8f7 b3c5 d8e8 f1e1 f8e8 c5e6 f7e6 e1e6 b8d8 b1e1 g8f7 d2f3 f6e4 f3g5 f7g8 g5e4 d5e4 g2e4 b6d5 e4d5 c6d5 c2c3 a8c8 a1b1 g7f6 f4f5 g6g5 f2e3 h7h6 g1g2 g8f7 b1d1 f7g7 d1h5 e8h8 h2h4 d8g8 h5g6 g7f8 e6f6 e7f6 g6f6 f8e8 e3g5 e8d7 e1e7 d7d8 e7b7 d8e8 f6e7,..,
14,patolouco,Trasric,1-0,2024.09.01,0:38:15,1944,1689,180+0,Chess960,e2e4 c7c5 h1g3 b7b6 b2b3 d7d5 e4d5 a8d5 d1f3 d5d6 g3e4 d6h6 f1g3 e7e6 e4d6 c8d7 d6e8 d7e8 a1e5 f8d7 e5d6 d8e7 d6c7 a7a6 f3c6 b8d8 c1b1 h8g6 g3e4 g6e5 c7e5,..,
15,mle,nathantmg,0-1,2024.09.01,0:38:19,1859,1970,180+0,Chess960,e1d3 f7f5 d3e1 g7g6 e1d3 e7e5 b2b3 e5e4 d3e1 a8b6 f2f3 d7d5 c1a3 e8d6 g1b6 a7b6 a3b4 c8d7 a2a4 g8f7 f3e4 d5e4 c2c3 d8f8 a1c2 b8d8 d1b1 b6b5 a4a5 c7c5 b4c5 f7b3 c2d4 b3f7 g2g4 d8c8 c5b6 b5b4 e2e3 b4c3 d2c3 c8c3 c1d2 d6c4 d2e2 c4b6 a5b6 f7c4 e2f2 c4f1 f2f1 c3e3 f1g1 h8d4,..,
16,AspectOfTheNerd,Magna19,1-0,2024.09.01,0:38:47,1944,1149,120+0,Chess960,d1c3 c8d6 e2e4 d8c6 f2f4 b7b6 e4e5 b8b7 e5d6 e7d6 g2g3 e8a8 a2a4 d8e8 c1e2 f7f5 a4a5 c6d4 h1b7 c8b7 g1d4 g7g5 d4h8 g5f4 f1f4 e8e7 a5b6 f8e8 a1a7 b7b6 b1a1 e7e2 c3e2 g8c4 a1a5 b6c6 f4c4,..,
17,SLABIFOR,Leandro8547,0-1,2024.09.01,0:38:47,1864,2028,120+0,Chess960,e2e4 g7g6 g2g3 e8d6 d2d3 f7f5 e4f5 d6f5 f2f4 e7e5 f4e5 h8e5 g1f3 e5g7 c1g5 g7f6 g5f6 d8f6 e1g2 g8e7 d1d2 f6b6 b1a1 d7d6 g2f4 e7c6 d2c3 c8d7 f3g5 b8a8 g5e4 c8b8 f4d5 b6b5 c3c4 b5c4 d3c4 d7e6 f1e1 e6d5 c4d5 c6e5 e4g5 d8d7 g5e6 f8f7 h1g2 h7h5 g2h3 b7b6 g3g4 h5g4 h3g4 e5g4 e1g1 g4e5 d1f1 b8b7 e6f4 f5e3 f1f2 e5g4 f2f3 g4h2 f3e3 f7f4 g1g6 f4f1 c1d2 d7f7 d2c3 h2f3 g6g3 f3e5 b2b3 f1f3 c3b2 f3e3 g3e3 f7f2 a2a4 a7a5 b2c3 e5d3,..,
18,m1ntaka,BIN-1960,0-1,2024.09.01,0:32:07,1507,1604,600+3,Chess960,e2e4 e7e5 g1f3 d7d6 f1c4 f8e7 d2d3 g8f6 h2h3 c7c6 c1g5 e8h8 b1c1 a8b6 c4b3 c8e6 b3e6 f7e6 a1b3 b8c7 b3d2 d6d5 g5h4 d8e8 f3g5 c7d7 h4g3 f6h5 g3e5 e7g5 f2f3 g5h4 e1e2 h4g3 d2f1 g3e5 c1g5 h5f4 e2d2 e5f6 g5g4 e6e5 g4d7 b6d7 h1g1 d7c5 f1e3 d5d4 e3g4 f6g5 d2e1 h7h5 g4f2 c5a4 d1b1 b7b5 g2g3 f4e6 f2d1 f8f3 b2b3 a4c3 d1c3 d4c3,..,
19,mle,nathantmg,0-1,2024.09.01,0:32:44,1867,1962,180+0,Chess960,c2c4 c7c5 b2b3 g8f6 d2d4 c5d4 a1d4 d8c6 d4b2 b7b6 f2f3 h7h5 g1h3 h8h6 h3f2 b8f4 c1c2 c6b4 g2g3 b4c2 b1c2 f4d2,..,
